"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Jänschwalde","JW Unit 10 Fauna","Unit 10","Germany","open air",14.540268,51.860265,"MP/ Middle Paleolithic - Eurasia",129000,774000,"geology (based on position of layers), macrobotanical remains, palynology","6","61","-","-",110000,1,110000,2.73348760604858,15.2336435317993,-10.001971244812,14.1782865524292,-9.05386352539062,480.147277832031,70.3258819580078,471.086730957031,8.90195846557617,NA,NA
"Jänschwalde","JW Unit 9 Micromammals","Unit 9","Germany","open air",14.540268,51.860265,"",116000,130000,"geology (based on position of layers), macrobotanical remains, palynology","5e","","","-",90832,0.999999999979189,91000,3.7724940776825,15.1128349304199,-9.59636688232422,14.8252477645874,-8.33383846282959,498.742431640625,84.5345001220703,465.037658691406,4,NA,NA
"Kabazi II","Unit III Micro-Mammal Fauna","Stratum 11 (lower)","Ukraine","open air",34.027613,44.834941,"MP/ Middle Paleolithic - Eurasia",74000,92000,"ESR (electron spin resonance) dating","-","39","39","-",82000,0.999999999717774,82000,6.78248834609985,20.1069087982178,-5.1490306854248,18.6221294403076,-4.05128002166748,542.764587402344,148.011871337891,302.809356689453,17.9268856048584,NA,NA
"Karain Cave","Karain Cave E, unit G, micromammals","stratum II.2","Turkey","cave",30.5666667,37.0833333,"MP/ Mousterian - Levant",85000,350000,"archaeological (cultural) stratigraphy, stratigraphy","-","","","-",128631,1,129000,12.5732498168945,29.6196422576904,0.682686805725098,26.6053924560547,1.67535650730133,550.144226074219,261.955596923828,162.337127685547,-395515072,NA,NA
"Karain Cave","Karain Cave E, unit I, micromammals","stratum I.4","Turkey","cave",30.5666667,37.0833333,"MP/ Mousterian - Levant",57000,70000,"geology (based on position of layers), stratigraphy","4","","","-",65774,0.99999479636178,66000,7.57292318344116,17.6857032775879,-2.70963644981384,16.6741886138916,-1.69193911552429,425.018218994141,162.951858520508,154.27409362793,-395515072,NA,NA
"Karain Cave","Karain Cave E, unit I, micromammals","stratum I.5","Turkey","cave",30.5666667,37.0833333,"MP/ Mousterian - Levant",50000,70000,"ESR (electron spin resonance) dating","4","","","-",74325,0.999998313396634,74000,9.83075618743896,20.0753231048584,0.829943597316742,18.5720481872559,1.57472801208496,461.319671630859,188.407440185547,161.275619506836,-395515072,NA,NA
"Karain Cave","Karain Cave E, unit H-I, Fauna","stratum I.7","Turkey","cave",30.5666667,37.0833333,"MP/ Mousterian - Levant",85000,148000,"ESR (electron spin resonance) dating","5","189","-","-",83939,0.99999994200741,84000,11.2581272125244,26.6718616485596,-0.0943502709269524,24.1331462860107,0.83991152048111,497.453063964844,225.872772216797,137.535659790039,-395515072,NA,NA
"Karain Cave","Karain Cave, human remains 01","stratum I.8","Turkey","cave",30.5666667,37.0833333,"",85000,148000,"ESR (electron spin resonance) dating","5e-5d","-","-","-",118834,0.999999966872731,119000,12.5089178085327,23.3092193603516,4.00366449356079,21.6411972045898,4.63970279693604,531.903137207031,238.969940185547,239.840789794922,-395515072,NA,NA
"Krapina","Krapina Layer c1 fauna","Complex II Unit c1","Croatia","rock shelter",15.863368,46.165529,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5","","","-",133372,0.954395137712821,133000,4.70650863647461,16.4698963165283,-8.28211879730225,15.410961151123,-6.78770017623901,1031.15686035156,156.892379760742,556.123229980469,5.55437755584717,NA,NA
"Krapina","Krapina Layer c5 fauna","Complex II Unit c5","Croatia","rock shelter",15.863368,46.165529,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5","","","-",130966,0.599912598047713,131000,6.46661186218262,20.9602470397949,-6.88383007049561,18.7284545898438,-5.36720848083496,1040.2685546875,162.676208496094,690.494995117188,4,NA,NA
"Krapina","Krapina Layer c7 fauna","Complex II Unit c7","Croatia","rock shelter",15.863368,46.165529,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5","","","-",69700,1,70000,3.82422208786011,11.1793575286865,-5.99600744247437,10.7832813262939,-5.06018829345703,1016.89672851562,160.409439086914,502.913818359375,9.70359039306641,NA,NA
"Krapina","Krapina Layer c9 fauna","Complex II Unit c9","Croatia","rock shelter",15.863368,46.165529,"MP/ Mousterian - Eurasia",120000,140000,"ESR (electron spin resonance) dating","5","","","-",87327,1,87000,4.46969556808472,17.3087024688721,-8.39290332794189,15.7841939926147,-6.99932479858398,1021.29010009766,159.421142578125,534.720397949219,5.55437755584717,NA,NA
"Ksar Akil","Ksar Akil, XXXII, Fauna","Level XXXII","Lebanon","rock shelter",35.640847,33.914028,"MP/ Mousterian - Levant",47000,56000,"U series (uranium-thorium) dating, stratigraphy","3","","-","-",50332,0.999999998343113,50000,11.60036277771,20.5652980804443,3.13036680221558,19.4917411804199,3.6651976108551,702.710388183594,402.838409423828,103.458541870117,-971542464,NA,NA
"Kulna Cave","Kulna layer 9 fauna","Unit 9b","Czech Republic","cave",16.737983,49.407631,"MP/ Micoquian",65100,77500,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating","-","","-","-",70211,0.999999999358335,70000,0.72078263759613,9.56410026550293,-10.0995244979858,8.97038650512695,-9.14184284210205,522.452270507812,74.5419464111328,302.108795166016,10,NA,NA
"Kulna Cave","Kulna layer 11a fauna","Unit 11","Czech Republic","cave",16.737983,49.407631,"MP/ Middle Paleolithic - Eurasia",70600,130000,"OSL (optically stimulated thermoluminescence) dating, oxygen isotope stratigraphy, stratigraphy","5","","-","-",76664,0.926036999122707,77000,3.56997847557068,14.2946348190308,-6.56626558303833,12.8809900283813,-5.63136529922485,558.619445800781,88.9250869750977,407.168090820312,9.14306640625,NA,NA
"Kulna Cave","Kulna layer 12 fauna","Unit 12a","Czech Republic","cave",16.737983,49.407631,"MP/ Middle Paleolithic - Eurasia",115000,130000,"stratigraphy","-","","-","-",93500,1,94000,4.66130018234253,15.0293655395508,-7.03751611709595,13.4404268264771,-5.63612079620361,588.437194824219,95.0785217285156,468.229095458984,7.58858489990234,NA,NA
"Kulna Cave","Kulna layer 14, micromammals","Unit 14","Czech Republic","cave",16.737983,49.407631,"MP/ Middle Paleolithic - Eurasia",115000,190000,"stratigraphy","6-5e","","","-",98000,1,98000,5.477614402771,17.0861988067627,-4.97015237808228,14.9547605514526,-3.78441023826599,595.281311035156,102.485069274902,451.20849609375,7.30801677703857,NA,NA
"La Chaise - Bourgeois-Delaunay","La Chaise - Bourgeois-Delaunay Layer 8","Unit 8 prime","France","cave",0.446972,45.670333,"MP/ Mousterian - Eurasia",91000,116000,"geology (based on position of layers), biostratigraphy (large mammal), micromorphology","5d","","-","-",70500,0.999999985676063,70000,6.43370866775513,11.5504579544067,0.728217899799347,11.0959625244141,1.33439528942108,787.763122558594,208.674880981445,344.083923339844,14.4576940536499,NA,NA
"La Chaise - Suard","La Chaise - Suard Layer III - VIII","Layer III","France","cave",0.446644,45.670603,"MP/ Mousterian - Eurasia",126000,287000,"geology (based on position of layers)","-","","-","-",70618,0.999999999999962,71000,7.39795112609863,12.9857969284058,1.70661199092865,12.3857908248901,2.20814442634583,803.521728515625,216.370864868164,369.009643554688,5.43889665603638,NA,NA
"La Ferrassie_Grand Abri","La Ferrassie_Grand Abri Unit B new layer 3 fauna","Peyrony Unit B","France","rock shelter",0.93805,44.951792,"",41800,78800,"archaeological (cultural) stratigraphy, OSL (optically stimulated thermoluminescence) dating","-","102","-","-",53563,1,54000,8.48123168945312,16.8171329498291,1.81971395015717,15.5791959762573,2.3099410533905,768.818542480469,206.222610473633,385.386322021484,11.0369129180908,NA,NA
"La Ferrassie_Grand Abri","La Ferrassie_Grand Abri Unit A fauna","Peyrony Unit A","France","rock shelter",0.93805,44.951792,"MP/ Mousterian of Acheulean Tradition",58500,100300,"archaeological (cultural) stratigraphy, OSL (optically stimulated thermoluminescence) dating","-","65","-","-",75436,1,75000,9.328537940979,16.4043292999268,3.41841602325439,15.4997911453247,3.83575654029846,789.810607910156,214.389129638672,462.528167724609,6,NA,NA
"La Quina - Amont","La Quina, Hominid 5","Unit L","France","collapsed shelter",0.294517,45.508222,"MP/ Mousterian - Eurasia",60000,71000,"archaeological (cultural) stratigraphy, geology (based on position of layers), stratigraphy","4-3","-","-","-",55600,1,56000,7.5048131942749,15.2040185928345,1.25864017009735,14.142804145813,1.76535189151764,741.19677734375,208.535888671875,333.700347900391,14.5554056167603,NA,NA
"Les Pradelles","Les Pradelles Level 11 Fauna","UL A","France","collapsed shelter",0.431889,45.740442,"",62600,82740,"OSL (optically stimulated thermoluminescence) dating, U series (uranium-thorium) dating","-","","-","-",81956,0.999999999344017,82000,7.88182401657104,17.1547813415527,1.05472123622894,15.6086549758911,1.36916935443878,736.795593261719,217.262100219727,385.678253173828,15,NA,NA
"Lezetxiki","Lezetxiki Unit VII human remains","Unit VII","Spain","cave",-2.52917,43.079221,"MP/ Mousterian - Eurasia",126000,300000,"biostratigraphy (large mammal), geology (based on position of layers), U series (uranium-thorium) dating, ESR (electron spin resonance) dating","6","-","-","-",121454,0.918270494644314,121000,11.0199251174927,19.7167434692383,4.69540309906006,18.6404209136963,5.33377599716187,992.021118164062,283.667785644531,507.589477539062,11.6959066390991,NA,NA
"Lynford Quarry","Lynford, B-ii:01, Fauna","Unit B-ii:01","United Kingdom","quarry",0.6861361,52.5192528,"MP/ Mousterian - Eurasia",43830,78120,"OSL (optically stimulated thermoluminescence) dating","5a-3","96","-","-",57400,1,57000,2.74243640899658,13.9810781478882,-6.10258674621582,12.5218906402588,-5.70527982711792,615.642395019531,157.333160400391,316.511596679688,9.888671875,NA,NA
"Lynford Quarry","Lynford, B-ii:02, Fauna","Unit B-ii:02","United Kingdom","quarry",0.6861361,52.5192528,"MP/ Mousterian - Eurasia",43830,78120,"OSL (optically stimulated thermoluminescence) dating","5a-3","4","-","-",62781,0.999999999988423,63000,-0.41047191619873,10.3773908615112,-10.1121988296509,9.43134021759033,-9.72457790374756,585.481872558594,149.303970336914,228.733520507812,10,NA,NA
"Lynford Quarry","Lynford, B-ii:03, Fauna","Unit B-ii:03","United Kingdom","quarry",0.6861361,52.5192528,"MP/ Mousterian - Eurasia",43830,78120,"OSL (optically stimulated thermoluminescence) dating","5a-3","1192","-","-",53060,0.999999999998674,53000,4.85167407989502,15.8088054656982,-3.56304883956909,14.318811416626,-3.19455814361572,640.361206054688,159.999252319336,368.552551269531,8,NA,NA
"Lynford Quarry","Lynford, B-ii:05, Fauna","Unit B-ii:05","United Kingdom","quarry",0.6861361,52.5192528,"MP/ Mousterian - Eurasia",43830,78120,"OSL (optically stimulated thermoluminescence) dating","5a-3","3","-","-",55165,1,55000,3.79253721237183,15.0488262176514,-4.86046838760376,13.5443649291992,-4.53527498245239,629.04931640625,159.173812866211,342.152740478516,8,NA,NA
"Madonna dell Arma","Madonna dell Arma, couche I, Fauna","Layer Q","Italy","cave",7.845847,43.828311,"",68700,77500,"U series (uranium-thorium) dating","-","","-","-",73100,1,73000,9.7424259185791,16.6493473052979,4.10054922103882,15.8702230453491,4.33141469955444,848.78076171875,258.737609863281,328.717864990234,-2038792704,NA,NA
"Madonna dell Arma","Madonna dell Arma, couche II, Fauna","Layer S4","Italy","cave",7.845847,43.828311,"",73900,80700,"U series (uranium-thorium) dating","-","","-","-",77300,1,77000,9.87642860412598,18.0796451568604,3.80883169174194,17.0353031158447,4.0766134262085,858.58984375,267.059631347656,297.017059326172,-2038792704,NA,NA
"Madonna dell Arma","Madonna dell Arma, couche IV, Fauna","Layer IV2","Italy","cave",7.845847,43.828311,"",79200,96800,"ESR (electron spin resonance) dating","-","","-","-",88000,0.999999999999995,88000,8.67815589904785,18.6394901275635,1.02443850040436,17.0913944244385,1.39023232460022,859.411926269531,272.72705078125,213.469833374023,-2038792704,NA,NA
"Mezmaiskaya Cave","Mezmaiskaya Cave layer 3 fauna","Layer 3","Russia","cave",40,44.166,"MP/ Middle Paleolithic - Eurasia",60000,70000,"14C (radiocarbon) dating, archaeological (cultural) stratigraphy","4","592","378","-",65470,0.999999999999994,65000,2.15266799926758,13.3267822265625,-11.2881135940552,12.1540288925171,-9.8303108215332,1035.08081054688,238.132064819336,589.329650878906,9.30139446258545,NA,NA
"Moula Guercy","Moula-Guercy layer IV fauna","Layer IV","France","cave",4.847953,44.883389,"MP/ Middle Paleolithic - Eurasia",50000,72000,"14C (radiocarbon) dating, biostratigraphy","4-3","","","-",52000,0.5,52000,6.45008420944214,15.7465553283691,-1.12195611000061,14.4590930938721,-0.658790707588196,1039.96752929688,271.048645019531,449.233337402344,6.8796181678772,NA,NA
"Moula Guercy","Moula-Guercy layer V-VII fauna","Layer VI","France","cave",4.847953,44.883389,"",60000,84000,"TL (thermoluminescence) dating","4","","","-",72000,0.999992657966532,72000,6.93185806274414,13.8012142181396,0.413269281387329,13.0449857711792,0.757085204124451,1002.81225585938,248.91633605957,437.383117675781,13.0369453430176,NA,NA
"Nahal Mahanayeem Outlet","NMO, Layer 4, Fauna","Unit 4","Israel","open air",35.6309,33.0267,"MP/ Mousterian - Levant",47000,77000,"OSL (optically stimulated thermoluminescence) dating","-","100","-","-",64495,0.999999999999999,64000,11.5689725875854,20.5354804992676,2.88958549499512,19.7091083526611,3.46092009544373,662.2744140625,372.841857910156,94.6972351074219,14.8317584991455,NA,NA
"Neumark-Nord 1","NN1 layer 2 micromammals","layer 2","Germany","open air",11.898889,51.324444,"",116000,130000,"fauna, geology (based on position of layers)","5e","1","1","-",140504,0.999999324762077,141000,1.17130839824677,12.0816946029663,-8.6398286819458,10.2958450317383,-8.05128574371338,346.470550537109,40.6716995239258,243.717407226562,10,NA,NA
"Neumark-Nord 1","NN1 layer 6.1 micromammals","layer 6.1","Germany","open air",11.898889,51.324444,"MP/ Middle Paleolithic - Eurasia",116000,130000,"fauna, geology (based on position of layers), macrobotanical remains, palynology","5e","61","58","-",132000,0.999999992721659,132000,3.41123342514038,16.6086330413818,-9.30292415618896,15.1781902313232,-8.2454833984375,381.047760009766,31.5154590606689,364.467102050781,13.0052690505981,NA,NA
"Neumark-Nord 2","NN2/2A large mammal fauna","3.1","Germany","open air",11.902831,51.324214,"MP/ Middle Paleolithic - Eurasia",114000,138000,"TL (thermoluminescence) dating, fauna, geology (based on position of layers), palynology, biostratigraphy (small mammal)","5e","","-","-",126000,0.999999999651369,126000,8.60194492340088,22.7841396331787,-1.71495640277863,20.0871753692627,-0.879414021968842,466.132568359375,63.8306617736816,477.214721679688,6,NA,NA
"Neumark-Nord 2","NN2/2B large mammal fauna","2.3","Germany","open air",11.902831,51.324214,"MP/ Middle Paleolithic - Eurasia",102000,133000,"TL (thermoluminescence) dating, fauna, geology (based on position of layers), macrobotanical remains, palynology, biostratigraphy (small mammal)","5e","","-","-",120301,0.999999999903727,120000,9.02966690063477,18.7392864227295,1.3624095916748,17.0220394134521,1.93003571033478,474.819152832031,102.136207580566,441.044647216797,6,NA,NA
"Neumark-Nord 2","NN2/2B large mammal fauna","2.5","Germany","open air",11.902831,51.324214,"MP/ Middle Paleolithic - Eurasia",94000,149000,"TL (thermoluminescence) dating, fauna, geology (based on position of layers), macrobotanical remains, palynology, biostratigraphy (small mammal)","5e","","-","-",131474,0.99999982179275,131000,4.88903188705444,18.7240200042725,-7.6175332069397,16.8306217193604,-6.54898643493652,406.695281982422,37.7676963806152,403.291931152344,7,NA,NA
"Ortvale Klde","Ortvale Klde Layer 10 fauna","Layer 10","Georgia","cave",43.262472,42.310469,"MP/ Mousterian - Eurasia",48651,54016,"TL (thermoluminescence) dating, stratigraphy","-","","-","-",50138,0.999999067897541,50000,5.50893831253052,16.2675628662109,-8.10795497894287,15.4227447509766,-6.44008922576904,890.666198730469,188.498519897461,448.830993652344,4.520911693573,NA,NA
"Payre","Payre unit D large mammals","Unit D1","France","collapsed cave",4.736381,44.731856,"MP/ Middle Paleolithic - Eurasia",115000,178000,"biostratigraphy (small mammal), U series (uranium-thorium) dating, biostratigraphy (large mammal), ESR (electron spin resonance) dating","6-5","1118","13","-",141032,0.89409803991028,141000,4.78969383239746,11.7711782455444,-1.15245425701141,10.8146619796753,-0.821784675121307,1088.40112304688,276.502349853516,310.103332519531,8.19891452789307,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 4D Fauna","Layer 4D","France","cave",1.252997,44.858736,"MP/ Mousterian - Eurasia",74800,112100,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating","-","","-","-",105300,1,105000,8.200270652771,18.0213394165039,1.19303631782532,16.2847843170166,1.53499865531921,688.68212890625,199.107040405273,368.693359375,15,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 4B Fauna","Layer 4B","France","cave",1.252997,44.858736,"MP/ Denticulate Mousterian",74800,95800,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating","-","","-","-",83883,1,84000,9.10894107818604,19.5244216918945,1.4507200717926,17.5747394561768,1.94929504394531,707.097045898438,196.162567138672,402.559906005859,15,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 4A1 Fauna","Layer 4A","France","cave",1.252997,44.858736,"MP/ Mousterian - Eurasia",53700,87000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating","-","","-","-",78866,0.999999684135377,79000,8.08759498596191,15.8023300170898,1.90429198741913,14.8244247436523,2.2506856918335,738.969848632812,207.989654541016,370.418060302734,11.0369129180908,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 3 Fauna","Layer 3","France","cave",1.252997,44.858736,"MP/ Mousterian - Eurasia",56000,72000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating","-","","-","-",61757,0.999894725910665,62000,5.99406909942627,13.0547876358032,-0.240576311945915,12.2986783981323,0.180503576993942,687.841247558594,184.234710693359,261.373962402344,6.32734251022339,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 2G1 Fauna","Layer 2G1","France","cave",1.252997,44.858736,"MP/ Mousterian - Eurasia",55100,69500,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating","-","","-","-",64039,0.999994556530099,64000,5.36074209213257,11.5746517181396,-0.693895280361176,10.9988842010498,-0.163776725530624,685.939453125,179.297973632812,78.6910171508789,14,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 2F to 1 Fauna","Layer 1","France","cave",1.252997,44.858736,"",0,59000,"geology (based on position of layers), stratigraphy","-","","-","-",56031,0.9999999940661,56000,7.38699007034302,15.4581708908081,0.967091381549835,14.3022441864014,1.40701651573181,742.477172851562,200.314895629883,330.61181640625,13.5251750946045,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 2F to 1 Fauna","Layer 2E","France","cave",1.252997,44.858736,"MP/ Mousterian - Eurasia",54000,59000,"ESR (electron spin resonance) dating","-","","-","-",56676,0.999999995355143,57000,7.51506900787354,15.7589721679688,1.01891601085663,14.5513172149658,1.43825590610504,733.08642578125,199.514068603516,337.306762695312,14.7139434814453,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 2F to 1 Fauna","Layer 2F","France","cave",1.252997,44.858736,"MP/ Mousterian - Eurasia",54000,59000,"ESR (electron spin resonance) dating","-","","-","-",54318,0.99999999159991,54000,8.48123168945312,16.8171329498291,1.81971395015717,15.5791959762573,2.3099410533905,768.818542480469,206.222610473633,385.386322021484,11.0369129180908,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 4C Fauna","Layer 4C","France","cave",1.252997,44.858736,"MP/ Mousterian - Eurasia",74800,95800,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, stratigraphy","-","","-","-",71114,0.999993360237757,71000,7.92452192306519,13.4525995254517,2.2461564540863,12.9201717376709,2.71484231948853,771.704711914062,197.465026855469,373.285614013672,5.74951505661011,NA,NA
"Pech de l Azé II","Pech de l Azé II Layer 5 Fauna","Layer 5","France","cave",1.252997,44.858736,"",128000,146000,"ESR (electron spin resonance) dating","-","","-","-",144773,0.949756324239486,145000,6.16308403015137,12.5336198806763,0.908126175403595,11.8014898300171,1.30896806716919,754.588500976562,203.880554199219,267.412902832031,9.62205028533936,NA,NA
"Quneitra","Quneitra, Fauna","Unit 3","Israel","open air",35.816278,33.128351,"MP/ Mousterian - Levant",48000,59800,"ESR (electron spin resonance) dating","3","99","-","-",53900,0.999999995426914,54000,13.5811548233032,22.9921932220459,4.85567188262939,21.9555130004883,5.44410753250122,641.073120117188,376.589538574219,131.392425537109,19.8336486816406,NA,NA
"Riparo del Poggio","Riparo del Poggio Layer 17 fauna","Unit 17","Italy","hill slope",15.387452,39.997665,"MP/ Mousterian - Eurasia",102800,120800,"TL (thermoluminescence) dating","5","3","-","-",111800,1,112000,9.94193744659424,18.1897830963135,2.83575487136841,17.2797966003418,3.14485311508179,651.077819824219,201.362564086914,362.675933837891,-1333801216,NA,NA
"Roc de Marsal","Roc de Marsal 1","Layer 5","France","cave",0.976108,44.901889,"MP/ Mousterian - Eurasia",46900,81200,"TL (thermoluminescence) dating, archaeological (cultural) stratigraphy, geology (based on position of layers)","4","-","-","-",76505,1,77000,8.60793209075928,15.8537788391113,2.68216323852539,15.0255889892578,3.05045437812805,767.517822265625,212.536575317383,399.27783203125,6,NA,NA
"Sainte-Anne I","Sainte-Anne I Layer J1 fauna","Unit J1","France","cave",3.83552,45.071273,"MP/ Middle Paleolithic - Eurasia",126000,190000,"geology (based on position of layers), biostratigraphy (large mammal), ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6","119","-","-",91550,0.950926874905986,92000,5.65944051742554,13.0668239593506,-1.66537868976593,12.3596477508545,-1.12667787075043,1069.41967773438,244.269241333008,412.999053955078,6.15671491622925,NA,NA
"Scladina","Scladina human remains 1","unit 4A-CHE","Belgium","cave",5.024939,50.484139,"",57000,126000,"U series (uranium-thorium) dating","5-4","-","-","-",127000,0.933733318651622,127000,8.72847175598145,22.2221260070801,-0.834847092628479,19.5395412445068,-0.204893752932549,811.242065429688,186.729705810547,507.769317626953,6,NA,NA
"Scladina","Scladina unit 5 fauna","unit 5","Belgium","cave",5.024939,50.484139,"MP/ Middle Paleolithic - Eurasia",71000,126000,"TL (thermoluminescence) dating","5","","-","-",130000,0.999767373750525,130000,6.70474624633789,19.9439582824707,-3.81695222854614,17.6410312652588,-3.06232810020447,782.267822265625,171.171813964844,468.261016845703,7,NA,NA
"Sima de las Palomas","Unknown Layer Macromammal Fauna","Layer B","Spain","cave",-0.895833,37.799722,"",50000,59400,"OSL (optically stimulated thermoluminescence) dating","3","","-","-",54700,0.999999999999923,55000,13.8713302612305,22.7452239990234,7.47256183624268,21.6273670196533,7.8857421875,339.159729003906,108.340682983398,162.925415039062,-575085760,NA,NA
"Sima de las Palomas","Unknown Layer Macromammal Fauna","Layer C (Conglomerate A)","Spain","cave",-0.895833,37.799722,"",42300,57950,"U series (uranium-thorium) dating","3","","-","-",51076,1,51000,13.7722940444946,22.3136310577393,7.57586860656738,21.2244510650635,8.00628757476807,346.010589599609,111.517158508301,156.498886108398,-575085760,NA,NA
"Starosele","Starosele 1952-1956 Excavation Macromammal Fauna","Layer D","Ukraine","cave",33.934757,44.752616,"MP/ Middle Paleolithic - Eurasia",35600,46700,"ESR (electron spin resonance) dating","-","59831","-","-",57482,0.999999286154507,57000,5.04334211349487,16.9647541046143,-6.74309253692627,15.7232713699341,-5.57758378982544,562.7802734375,162.023712158203,331.776306152344,-426493952,NA,NA
"Starosele","Starosele 1952-1956 Excavation Macromammal Fauna","Layer F","Ukraine","cave",33.934757,44.752616,"MP/ Middle Paleolithic - Eurasia",95500,112500,"U series (uranium-thorium) dating","-","59831","-","-",104000,1,104000,7.66215372085571,20.6492900848389,-3.32503914833069,19.1617984771729,-2.42915225028992,563.163757324219,154.039321899414,369.427947998047,-706989184,NA,NA
"Stuttgart-Untertürkheim","Biedermann Cave Fauna","Upper Travertine","Germany","open air",9.244974,48.790701,"MP/ Mousterian - Eurasia",93000,109000,"geology (based on position of layers), biostratigraphy (small mammal), U series (uranium-thorium) dating","5c","253","13","-",105500,1,106000,5.6640477180481,18.4728565216064,-4.07787704467773,16.0838050842285,-3.51874589920044,603.979248046875,90.6972274780273,479.789154052734,7.09948635101318,NA,NA
"Stuttgart-Untertürkheim","Lower Travertine Calcified Tree Stump S1 Fauna","Lower Travertine","Germany","open air",9.244974,48.790701,"MP/ Mousterian - Eurasia",116000,130000,"U series (uranium-thorium) dating, geology (based on position of layers), palynology, biostratigraphy (small mammal)","5e","487","20","11",106588,0.99953264734625,107000,4.03254270553589,16.3331642150879,-5.72425508499146,14.235502243042,-5.21562719345093,563.197021484375,74.2247924804688,428.319366455078,8.13547420501709,NA,NA
"Tönchesberg 1","Tönchesberg 1 fauna IA (lower lava loess)","loess with lava 1","Germany","open air",7.359886,50.368036,"MP/ Middle Paleolithic - Eurasia",110000,141000,"TL (thermoluminescence) dating","5e","60","-","-",121000,0.999999999999656,121000,9.63444805145264,19.0257034301758,2.49911451339722,17.4997978210449,2.95792865753174,828.40087890625,215.43098449707,484.195709228516,6,NA,NA
"Tönchesberg 1","Tönchesberg 1 fauna 1B","loess with volcanic ash","Germany","open air",7.359886,50.368036,"MP/ Middle Paleolithic - Eurasia",60000,72000,"TL (thermoluminescence) dating","4","114","-","-",66000,0.999999999999991,66000,0.768571078777313,9.4313793182373,-7.95434141159058,8.85531616210938,-7.5762825012207,645.780029296875,129.074676513672,243.649826049805,10,NA,NA
"Tönchesberg 2","Tönchesberg 2 Tö2D fauna","loess 3","Germany","open air",7.361494,50.368086,"MP/ Middle Paleolithic - Eurasia",105000,123000,"TL (thermoluminescence) dating","5d","16","-","-",114000,1,114000,6.45383214950562,12.965220451355,-1.66471695899963,12.7123346328735,-1.08280527591705,746.255126953125,173.610961914062,391.085021972656,6.22407484054565,NA,NA
"Waziers - Le Bas Terroir","Waziers - Le Bas Terroir US 4 Macromammal Fauna","Unit IV","France","open air",3.116151,50.39474,"",130000,191000,"OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers), stratigraphy","6","4","-","-",103000,1,103000,5.8335075378418,16.9242744445801,-2.32939743995667,15.1626777648926,-1.89222741127014,703.481262207031,177.933746337891,424.241516113281,7.09580612182617,NA,NA
